"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"24","Tb927_02_v5.1",316853,317253,862.841352585847,898.741823876057,535.157396927692,606.887615183909,797.587180979346,770.889599977397,752.642967104693,1078.8677005846,3790.60589478223,2161.58793047976,2185.3684905154,4191.07739886071,4595.83403176297,2631.41038953167,3374.34488815768,2525.69982824051,838.040879717973,1949.6493431548,1924.76285270966,1696.35338364024
"25","Tb927_02_v5.1",368856,369256,1370.61967070053,555.350251622692,1453.80815116794,2285.98095198921,1750.15575731487,296.819862361586,1699.05411531001,1479.51965328316,2561.59571963291,2285.00353020489,2956.67501657966,9520.14979682577,12204.939819224,3970.98150649629,3628.31186697588,2522.8966097852,1253.70468053937,2263.24630732807,2308.79005649549,2039.64890440484
"26","Tb927_02_v5.1",376362,376762,1004.1029899561,784.895022293405,911.067552259492,1179.36989158881,1140.05826437616,284.189229920668,1262.29689681631,1266.57714078899,1946.45907492817,2108.95480706758,2096.66824001801,10073.021861168,11941.4843651739,2803.86092412941,2755.02190472381,1449.26394139883,701.537558856034,1538.81301024562,1471.33314221556,1422.90074468637
"27","Tb927_02_v5.1",415039,415439,189.621477190695,197.149339326056,150.039067762116,127.468960066509,194.293749300182,135.568788199193,140.185983111387,257.869689985708,492.614561467868,343.022769824244,479.495557036615,731.019729519127,856.230225662847,578.941080435288,430.704233083506,473.743918948553,151.048756691491,483.765859461103,511.265132751004,432.078845100271
"28","Tb927_02_v5.1",516169,516569,1076.64274968677,997.779285415437,512.949448269762,653.137414854059,972.98076011414,723.735238864634,672.269670120831,1421.66821925295,3303.04379035506,1811.30541949522,2883.40089660356,4985.06311348547,5499.63260329598,4161.90888408666,2802.54788906406,3920.30100976066,932.026772770456,4062.17462894222,4102.84485490455,3713.51051254671
"29","Tb927_02_v5.1",57860,58260,1202.63285869266,1197.70537599961,977.149740948944,596.735220134364,1388.78450375266,570.062544166792,843.608093923638,1044.4030164815,2239.50158328854,2221.48079505225,2465.60986165208,3051.54664402207,3221.8406568211,3070.23541060629,3444.14867765742,3433.94260776318,712.166915808398,2148.99004906339,2092.48557725468,2115.41067450461
"30","Tb927_02_v5.1",896838,897238,1458.43095879555,980.193194114052,729.61236200567,817.831823435566,1388.78450375266,771.310621058761,770.088333891888,1474.59612698271,3570.82401351196,2468.3119945025,3410.4603560808,5135.56717544529,5481.33708565361,4529.90600702292,2665.91068408584,4684.17803883451,977.341399777904,4136.31964760335,4157.21015182604,3915.93649203204
"31","Tb927_02_v5.1",905914,906314,1852.94544154129,1120.88192452513,776.19488845889,788.502682181325,1654.1428928747,697.210910738705,766.973089822746,1652.45851458622,4097.54266000452,3704.28292704382,4397.73270944305,5636.22354482184,6169.24854900666,5365.98315243877,3839.20842248574,5776.03162718044,956.082685873175,4820.64170508224,4844.29496823802,5015.66593613657
"32","Tb927_02_v5.1",92380,92780,803.027866492138,688.634312012139,596.364670058086,484.494852642173,930.644378943673,620.164052849102,690.338085721854,934.239115509082,1749.41325034102,1152.48390919786,1740.58172715168,2423.42254869996,2764.45271576188,2514.39038391177,1358.94611472899,1946.83521721758,569.509756710879,1688.31853967706,1614.76498941267,1624.14294651389
"33","Tb927_02_v5.1",993346,993746,148.897401552425,193.447004315238,147.872438624757,155.670057426356,221.50999433834,319.133979673876,213.082694329309,382.804169859452,660.608758071013,295.834452282285,528.344970354018,1113.42290735581,1264.22026908766,779.106879521956,597.045178274378,775.089902895118,259.020645733926,793.716347306784,801.598952480647,639.239935216839
